Toy Story,81
Jumanji,104
Grumpier Old Men,101
Waiting to Exhale,127
Father of the Bride Part II,106
Heat,170
Sabrina,127
Tom and Huck,97
Sudden Death,106
GoldenEye,130
The American President,106
Dracula: Dead and Loving It,88
Balto,78
Nixon,192
Cutthroat Island,119
Casino,178
Sense and Sensibility,136
Four Rooms,98
Ace Ventura: When Nature Calls,90
Money Train,103
Get Shorty,105
Copycat,124
Assassins,132
Powder,111
Leaving Las Vegas,112
Othello,123
Now and Then,100
Persuasion,104
The City of Lost Children,108
Shanghai Triad,108
Dangerous Minds,99
Twelve Monkeys,129
Wings of Courage,50
Babe,89
Carrington,121
Dead Man Walking,122
Across the Sea of Time,51
It Takes Two,101
Clueless,97
"Cry, the Beloved Country",106
Richard III,104
Dead Presidents,119
Restoration,117
Mortal Kombat,101
To Die For,106
How To Make An American Quilt,116
Se7en,127
Pocahontas,81
When Night Is Falling,96
The Usual Suspects,106
Guardian Angel,93
Mighty Aphrodite,95
Lamerica,116
The Big Green,100
Georgia,115
Kids of the Round Table,89
Home for the Holidays,103
The Postman,108
The Confessional,100
The Indian in the Cupboard,96
Eye for an Eye,101
Mr. Holland's Opus,137
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,89
Two If by Sea,96
Bio-Dome,88
Lawnmower Man 2: Beyond Cyberspace,92
Two Bits,85
French Twist,95
Friday,91
From Dusk Till Dawn,108
Fair Game,91
Kicking and Screaming,96
Les Miserables,175
Bed of Roses,87
Big Bully,90
Screamers,108
Nico Icon,70
The Crossing Guard,111
The Juror,118
The White Balloon,85
Things to Do in Denver When You're Dead,116
Antonia's Line,102
Once Upon a Time... When We Were Colored,115
Last Summer in the Hamptons,108
Angels and Insects,118
White Squall,129
Dunston Checks In,88
Black Sheep,87
Nick of Time,90
The Journey of August King,91
Mary Reilly,104
Vampire in Brooklyn,100
Beautiful Girls,112
Broken Arrow,108
A Midwinter's Tale,99
La Haine,98
Shopping,105
Heidi Fleiss: Hollywood Madam,106
City Hall,111
Bottle Rocket,91
Mr. Wrong,96
Unforgettable,106
Happy Gilmore,92
The Bridges of Madison County,135
Nobody Loves Me,104
Muppet Treasure Island,100
Catwalk,95
Headless Body in Topless Bar,110
Braveheart,177
Taxi Driver,114
Rumble in the Bronx,91
Before and After,108
Margaret's Museum,114
Happiness Is in the Field,106
Anne Frank Remembered,117
The Young Poisoner's Handbook,99
If Lucy Fell,92
Steal Big Steal Little,113
Race the Sun,100
The Boys of St. Vincent,90
Boomerang,117
Chungking Express,102
The Star Maker,113
Flirting with Disaster,92
The Neverending Story III: Escape from Fantasia,95
The Silences of the Palace,116
Jupiter's Wife,87
Pie in the Sky,95
Angela,99
Frankie Starlight,101
Jade,95
Nueba Yol,102
Sonic Outlaws,87
Down Periscope,92
From the Journals of Jean Seberg,97
Man of the Year,86
The Neon Bible,91
Target,122
Up Close & Personal,119
The Birdcage,117
Virgin Mary,125
The Brothers McMullen,98
Bad Boys,118
The Amazing Panda Adventure,81
The Basketball Diaries,102
An Awfully Big Adventure,113
Amateur,105
Apollo 13,140
Rob Roy,139
The Addiction,82
Batman Forever,121
Belle de Jour,101
Beyond Rangoon,100
Blue in the Face,83
Canadian Bacon,91
Casper,100
Clockers,128
Congo,109
Crimson Tide,116
Crumb,119
Desperado,104
Devil in a Blue Dress,102
Die Hard: With a Vengeance,128
The Doom Generation,80
Feast of July,116
First Knight,134
Free Willy 2 - The Adventure Home,95
Hackers,107
Jeffrey,92
Johnny Mnemonic,97
Judge Dredd,96
Jury Duty,88
Kids,91
Living in Oblivion,89
Lord of Illusions,119
Love & Human Remains,100
Mad Love,95
Mallrats,94
Mighty Morphin Power Rangers: The Movie,92
Moonlight and Valentino,100
Mute Witness,95
Nadja,93
The Net,114
Nine Months,103
Party Girl,94
The Prophecy,98
Reckless,91
Safe,119
The Scarlet Letter,135
The Show,93
Showgirls,128
Smoke,112
Something to Talk About,106
Species,108
The Stars Fell on Henrietta,109
Strange Days,145
The Umbrellas of Cherbourg,91
The Tie That Binds,99
Three Wishes,115
Total Eclipse,111
"To Wong Foo, Thanks for Everything! Julie Newmar",105
Under Siege 2: Dark Territory,100
Unstrung Heroes,93
Unzipped,73
A Walk in the Clouds,103
Waterworld,135
White Man's Burden,89
Wild Bill,98
The Browning Version,97
Bushwhacked,90
Burnt by the Sun,135
Before the Rain,113
Before Sunrise,105
Billy Madison,89
The Babysitter,90
Boys on the Side,115
The Cure,97
Castle Freak,95
Circle of Friends,103
Clerks,92
Don Juan DeMarco,97
Disclosure,123
Dream Man,0
Drop Zone,101
Destiny Turns on the Radio,0
Death and the Maiden,103
Dolores Claiborne,132
Dumb and Dumber,107
Eat Drink Man Woman,123
Exotica,103
Exit to Eden,113
Ed Wood,127
French Kiss,111
Forget Paris,101
Far from Home: The Adventures of Yellow Dog,87
A Goofy Movie,78
Hideaway,103
Fluke,96
Farinelli,111
Gordy,90
Gumby: The Movie,77
The Glass Shield,109
Hoop Dreams,171
Heavenly Creatures,99
Houseguest,113
Immortal Beloved,121
Heavyweights,100
The Hunted,106
I.Q.,100
Interview with the Vampire,123
Jefferson in Paris,139
The Jerky Boys,82
Junior,109
Just Cause,102
A Kid in King Arthur's Court,89
Kiss of Death,101
Star Wars,121
Little Women,115
A Little Princess,97
Ladybird Ladybird,101
L'Enfer,100
Like Water for Chocolate,105
Legends of the Fall,133
Major Payne,95
Little Odessa,98
Mi Vida Loca,92
Love Affair,108
Losing Isaiah,106
The Madness of King George,107
Mary Shelley's Frankenstein,123
Man of the House,96
Mixed Nuts,97
Milk Money,108
Miracle on 34th Street,114
Miami Rhapsody,95
My Family,128
Murder in the First,122
Nobody's Fool,110
Nell,112
New Jersey Drive,98
New York Cop,93
Beyond Bedlam,89
Nemesis 2 - Nebula,83
Nina Takes a Lover,100
Natural Born Killers,119
Only You,115
Once Were Warriors,99
Poison Ivy II: Lily,106
Outbreak,127
Leon: The Professional,110
The Perez Family,113
A Pyromaniac's Love Story,94
Pulp Fiction,154
Panther,124
Pushing Hands,105
Priest,98
Quiz Show,133
Picture Bride,94
Queen Margot,162
The Quick and the Dead,107
Roommates,108
PrÃªt-Ã -Porter,133
Three Colors: Red,99
Three Colors: Blue,98
Three Colors: White,91
"Red Firecracker, Green Firecracker",111
Rent-a-Kid,85
Relative Fear,90
Stuart Saves His Family,95
The Swan Princess,89
The Secret of Roan Inish,97
The Specialist,110
Stargate,121
The Santa Clause,97
The Shawshank Redemption,142
Shallow Grave,92
Suture,96
Strawberry and Chocolate,108
Swimming with Sharks,101
The Sum of Us,100
Senior Trip,91
To Live,125
Tank Girl,98
Tales from the Crypt: Demon Knight,92
Star Trek: Generations,118
Tales from the Hood,98
Tom & Viv,115
Village of the Damned,99
Tommy Boy,97
Vanya on 42nd Street,119
The Underneath,99
The Walking Dead,88
What's Eating Gilbert Grape,118
Virtuosity,106
While You Were Sleeping,103
The War,126
Double Happiness,87
Muriel's Wedding,106
The Baby-Sitters Club,94
Ace Ventura: Pet Detective,86
"The Adventures of Priscilla, Queen of the Desert",104
Backbeat,100
Bitter Moon,139
Bullets Over Broadway,98
Clear and Present Danger,141
The Client,119
"Corrina, Corrina",115
Crooklyn,115
The Crow,102
Cobb,128
The Flintstones,91
Forrest Gump,142
Four Weddings and a Funeral,117
Higher Learning,127
I Like It Like That,104
I Love Trouble,123
It Could Happen to You,101
The Jungle Book,111
"The Wonderful, Horrible Life of Leni Riefenstahl",180
The Lion King,89
Little Buddha,140
New Nightmare,112
The Mask,101
Maverick,127
Mrs. Parker and the Vicious Circle,125
The Naked Gun 33â…“: The Final Insult,83
The Paper,112
Reality Bites,99
Red Rock West,98
RiÂ¢hie RiÂ¢h,95
Safe Passage,98
The River Wild,111
Speed,116
Speechless,99
Timecop,99
True Lies,141
When a Man Loves a Woman,126
Wolf,125
Wyatt Earp,191
Bad Company,108
A Man of No Importance,99
S.F.W.,96
A Low Down Dirty Shame,100
"Boys Life: Three Stories of Love, Lust, and Liberation",91
Colonel Chabert,110
"Faster, Pussycat! Kill! Kill!",83
Jason's Lyric,119
The Secret Adventures of Tom Thumb,61
Street Fighter,102
Coldblooded,92
Desert Winds,97
Fall Time,88
The Fear,98
Frank and Ollie,89
Girl in the Cadillac,89
Homage,97
Mirage,92
Open Season,97
Dos CrÃ­menes,0
Brother Minister: The Assassination of Malcolm X,115
Highlander: The Final Dimension,99
Federal Hill,97
In the Mouth of Madness,95
8 Seconds,105
Above the Rim,96
Addams Family Values,94
Martin Lawrence: You So Crazy,84
The Age of Innocence,139
Airheads,92
The Air Up There,107
Another Stakeout,105
Bad Girls,99
Barcelona,100
Being Human,122
The Beverly Hillbillies,93
Beverly Hills Cop III,104
Black Beauty,88
Blink,106
Blown Away,121
Blue Chips,108
Blue Sky,101
Body Snatchers,87
Boxing Helena,107
A Bronx Tale,121
Cabin Boy,80
Calendar Girl,90
Carlito's Way,144
City Slickers II: The Legend of Curly's Gold,116
Clean Slate,107
Cliffhanger,112
Coneheads,88
Color of Night,121
Cops & Robbersons,93
The Cowboy Way,102
Dangerous Game,108
Dave,110
Dazed and Confused,102
Demolition Man,115
The Endless Summer 2,109
Even Cowgirls Get the Blues,96
Fatal Instinct,91
Farewell My Concubine,171
The Favor,97
Fearless,122
Fear of a Black Hat,88
With Honors,103
Flesh and Bone,126
Widows' Peak,101
For Love or Money,94
The Firm,154
Free Willy,112
Fresh,114
The Fugitive,130
Geronimo: An American Legend,115
The Getaway,115
Getting Even with Dad,109
Go Fish,83
A Good Man in Africa,94
Guilty as Sin,107
Hard Target,97
Heaven & Earth,140
Hot Shots! Part Deux,86
Live Nude Girls,95
The Englishman Who Went Up a Hill But Came Down a Mountain,99
The House of the Spirits,140
House Party 3,100
The Hudsucker Proxy,111
I'll Do Anything,115
In the Army Now,91
In the Line of Fire,128
In the Name of the Father,133
The Inkwell,110
What's Love Got to Do with It,118
Jimmy Hollywood,112
Judgment Night,110
Jurassic Park,127
Kalifornia,117
Killing Zoe,96
King of the Hill,103
Lassie,94
Last Action Hero,130
Life With Mikey,91
Lightning Jack,98
M. Butterfly,101
Made in America,111
Malice,107
The Man without a Face,114
Manhattan Murder Mystery,104
Menace II Society,97
Executive Decision,133
In the Realm of the Senses,105
What Happened Was...,91
Much Ado About Nothing,111
Mr. Jones,114
Mr. Wonderful,98
Mrs. Doubtfire,125
Naked,131
The Next Karate Kid,107
The New Age,112
No Escape,118
North,87
Orlando,93
A Perfect World,138
Philadelphia,125
The Piano,121
Poetic Justice,109
The Program,112
The Puppet Masters,109
Radioland Murders,108
The Ref,97
The Remains of the Day,134
Renaissance Man,128
Rising Sun,125
The Road to Wellville,118
RoboCop 3,104
