2,Jumanji,104
3,Grumpier Old Men,101
4,Waiting to Exhale,127
5,Father of the Bride Part II,106
6,Heat,170
7,Sabrina,127
8,Tom and Huck,97
9,Sudden Death,106
10,GoldenEye,130
11,The American President,106
12,Dracula: Dead and Loving It,88
13,Balto,78
14,Nixon,192
15,Cutthroat Island,119
16,Casino,178
17,Sense and Sensibility,136
18,Four Rooms,98
19,Ace Ventura: When Nature Calls,90
20,Money Train,103
21,Get Shorty,105
22,Copycat,124
23,Assassins,132
24,Powder,111
25,Leaving Las Vegas,112
26,Othello,123
27,Now and Then,100
28,Persuasion,104
29,The City of Lost Children,108
30,Shanghai Triad,108
31,Dangerous Minds,99
32,Twelve Monkeys,129
33,Wings of Courage,50
34,Babe,89
35,Carrington,121
36,Dead Man Walking,122
37,Across the Sea of Time,51
38,It Takes Two,101
39,Clueless,97
40,"Cry, the Beloved Country",106
41,Richard III,104
42,Dead Presidents,119
43,Restoration,117
44,Mortal Kombat,101
45,To Die For,106
46,How To Make An American Quilt,116
47,Se7en,127
48,Pocahontas,81
49,When Night Is Falling,96
50,The Usual Suspects,106
51,Guardian Angel,93
52,Mighty Aphrodite,95
53,Lamerica,116
54,The Big Green,100
55,Georgia,115
56,Kids of the Round Table,89
57,Home for the Holidays,103
58,The Postman,108
59,The Confessional,100
60,The Indian in the Cupboard,96
61,Eye for an Eye,101
62,Mr. Holland's Opus,137
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,89
64,Two If by Sea,96
65,Bio-Dome,88
66,Lawnmower Man 2: Beyond Cyberspace,92
67,Two Bits,85
68,French Twist,95
69,Friday,91
70,From Dusk Till Dawn,108
71,Fair Game,91
72,Kicking and Screaming,96
73,Les Miserables,175
74,Bed of Roses,87
75,Big Bully,90
76,Screamers,108
77,Nico Icon,70
78,The Crossing Guard,111
79,The Juror,118
80,The White Balloon,85
81,Things to Do in Denver When You're Dead,116
82,Antonia's Line,102
83,Once Upon a Time... When We Were Colored,115
84,Last Summer in the Hamptons,108
85,Angels and Insects,118
86,White Squall,129
87,Dunston Checks In,88
88,Black Sheep,87
89,Nick of Time,90
90,The Journey of August King,91
91,Mary Reilly,104
92,Vampire in Brooklyn,100
93,Beautiful Girls,112
94,Broken Arrow,108
95,A Midwinter's Tale,99
96,La Haine,98
97,Shopping,105
98,Heidi Fleiss: Hollywood Madam,106
99,City Hall,111
100,Bottle Rocket,91
101,Mr. Wrong,96
102,Unforgettable,106
103,Happy Gilmore,92
104,The Bridges of Madison County,135
105,Nobody Loves Me,104
106,Muppet Treasure Island,100
107,Catwalk,95
108,Headless Body in Topless Bar,110
109,Braveheart,177
110,Taxi Driver,114
111,Rumble in the Bronx,91
112,Before and After,108
113,Margaret's Museum,114
114,Happiness Is in the Field,106
115,Anne Frank Remembered,117
116,The Young Poisoner's Handbook,99
117,If Lucy Fell,92
118,Steal Big Steal Little,113
119,Race the Sun,100
120,The Boys of St. Vincent,90
121,Boomerang,117
122,Chungking Express,102
123,The Star Maker,113
124,Flirting with Disaster,92
125,The Neverending Story III: Escape from Fantasia,95
126,The Silences of the Palace,116
127,Jupiter's Wife,87
128,Pie in the Sky,95
129,Angela,99
130,Frankie Starlight,101
131,Jade,95
132,Nueba Yol,102
133,Sonic Outlaws,87
134,Down Periscope,92
135,From the Journals of Jean Seberg,97
136,Man of the Year,86
137,The Neon Bible,91
138,Target,122
139,Up Close & Personal,119
140,The Birdcage,117
141,Virgin Mary,125
142,The Brothers McMullen,98
143,Bad Boys,118
144,The Amazing Panda Adventure,81
145,The Basketball Diaries,102
146,An Awfully Big Adventure,113
147,Amateur,105
148,Apollo 13,140
149,Rob Roy,139
150,The Addiction,82
151,Batman Forever,121
152,Belle de Jour,101
153,Beyond Rangoon,100
154,Blue in the Face,83
155,Canadian Bacon,91
156,Casper,100
157,Clockers,128
158,Congo,109
159,Crimson Tide,116
160,Crumb,119
161,Desperado,104
162,Devil in a Blue Dress,102
163,Die Hard: With a Vengeance,128
164,The Doom Generation,80
165,Feast of July,116
166,First Knight,134
167,Free Willy 2 - The Adventure Home,95
168,Hackers,107
169,Jeffrey,92
170,Johnny Mnemonic,97
171,Judge Dredd,96
172,Jury Duty,88
173,Kids,91
174,Living in Oblivion,89
175,Lord of Illusions,119
176,Love & Human Remains,100
177,Mad Love,95
178,Mallrats,94
179,Mighty Morphin Power Rangers: The Movie,92
180,Moonlight and Valentino,100
181,Mute Witness,95
182,Nadja,93
183,The Net,114
184,Nine Months,103
185,Party Girl,94
186,The Prophecy,98
187,Reckless,91
188,Safe,119
189,The Scarlet Letter,135
190,The Show,93
191,Showgirls,128
192,Smoke,112
193,Something to Talk About,106
194,Species,108
195,The Stars Fell on Henrietta,109
196,Strange Days,145
197,The Umbrellas of Cherbourg,91
198,The Tie That Binds,99
199,Three Wishes,115
200,Total Eclipse,111
201,"To Wong Foo, Thanks for Everything! Julie Newmar",105
202,Under Siege 2: Dark Territory,100
203,Unstrung Heroes,93
204,Unzipped,73
205,A Walk in the Clouds,103
206,Waterworld,135
207,White Man's Burden,89
208,Wild Bill,98
209,The Browning Version,97
210,Bushwhacked,90
211,Burnt by the Sun,135
212,Before the Rain,113
213,Before Sunrise,105
214,Billy Madison,89
215,The Babysitter,90
216,Boys on the Side,115
217,The Cure,97
218,Castle Freak,95
219,Circle of Friends,103
220,Clerks,92
221,Don Juan DeMarco,97
222,Disclosure,123
223,Dream Man,0
224,Drop Zone,101
225,Destiny Turns on the Radio,0
226,Death and the Maiden,103
227,Dolores Claiborne,132
228,Dumb and Dumber,107
